  t  | i=0 pr=-1000      IO:EXT|-1000    OQ:1|-1    OQ:2|-2    IS:1|-1    IS:2|-2    OS:EXT|-1000    IL:-1000    HC    SC    TC  | i=1 pr=-1      IO:0|-1    OQ:EXT|-2    IS:EXT|-2    OS:0|-1    IL:-1    HC    SC    TC  | i=2 pr=-2      IO:0|-2    OQ:EXT|-3    IS:EXT|-3    OS:0|-2    IL:-2    HC    SC    TC
---  ----------------  --------------  ---------  ---------  ---------  ---------  --------------  ----------  ----  ----  ----  -------------  ---------  -----------  -----------  ---------  -------  ----  ----  ----  -------------  ---------  -----------  -----------  ---------  -------  ----  ----  ----
 56  |                              4          4          4          6          6               4           3     6     0     6  |                      4            4            5          4        3     3     0     7  |                      4            4            5          4        1     1     0     5
 57  |                              6          6          6          4          4               6           1     2     0     2  |                      6            6            6          6        3     3     0     9  |                      6            6            6          6        1     1     0     7
 58  |                              4          4          4          6          6               4           3     6     0     6  |                      4            4            4          4        3     3     0     7  |                      4            4            4          4        1     1     0     5
 59  |                              4          4          4          4          4               4           3     6     0     6  |                      4            4            6          4        5     5     0     9  |                      4            4            6          4        3     3     0     7
 60  |                              5          5          5          4          4               5           2     4     0     4  |                      5            5            4          5        4     4     0     9  |                      5            5            4          5        2     2     0     7
 61  |                              5          5          5          5          5               5           2     4     0     4  |                      5            5            4          5        3     3     0     8  |                      5            5            4          5        1     1     0     6
 62  |                              4          4          4          5          5               4           3     6     0     6  |                      4            4            5          4        4     4     0     8  |                      4            4            5          4        2     2     0     6
 63  |                              2          2          2          4          4               2           5    10     0    10  |                      2            2            5          2        7     7     0     9  |                      2            2            5          2        5     5     0     7
 64  |                              4          4          4          2          2               4           3     6     0     6  |                      4            4            4          4        7     7     0    11  |                      4            4            4          4        5     5     0     9
 65  |                              5          5          5          4          4               5           2     4     0     4  |                      5            5            2          5        4     4     0     9  |                      5            5            2          5        2     2     0     7
 66  |                              6          6          6          5          5               6           1     2     0     2  |                      6            6            4          6        2     2     0     8  |                      6            6            4          6        0     0     0     6
 67  |                              5          5          5          6          6               5           2     4     0     4  |                      5            5            5          5        2     2     0     7  |                      5            5            5          5        0     0     0     5
 68  |                              8          8          8          5          5               7          -1     0    20    20  |                      8            8            6          8        0     0     0     8  |                      8            8            6          6       -2     0     0     6
 69  |                              6          6          6          8          6               6          -1     2    20    22  |                      6            6            5          5       -1     0     0     5  |                      6            6            5          5       -3     0     0     5
 70  |                              4          4          4          5          5               5           0     2     0     2  |                      4            4            8          5        3     3     0     8  |                      4            4            8          7        1     1     0     8
 71  |                              5          5          5          5          7               5           2     4     0     4  |                      5            5            6          5        4     4     0     9  |                      5            5            6          5        2     2     0     7
 72  |                              5          5          5          5          5               5           2     4     0     4  |                      5            5            4          5        3     3     0     8  |                      5            5            4          5        1     1     0     6
 73  |                              6          6          6          5          5               6           1     2     0     2  |                      6            6            5          6        2     2     0     8  |                      6            6            5          6        0     0     0     6
 74  |                              6          6          6          6          6               6           1     2     0     2  |                      6            6            5          6        1     1     0     7  |                      6            6            5          5       -1     0     0     5
 75  |                              6          6          6          6          5               6           0     1     0     1  |                      6            6            6          6        1     1     0     7  |                      6            6            6          6       -1     0     0     6
 76  |                              4          4          4          6          6               4           2     5     0     5  |                      4            4            6          4        3     3     0     7  |                      4            4            6          5        1     1     0     6
 77  |                              7          7          7          4          5               7           0     0     0     0  |                      7            7            6          7        2     2     0     9  |                      7            7            6          7        0     0     0     7
 78  |                              6          6          6          7          7               6           1     2     0     2  |                      6            6            4          6        0     0     0     6  |                      6            6            4          4       -2     0     0     4
 79  |                              5          5          5          6          4               5           0     2     0     2  |                      5            5            7          5        2     2     0     7  |                      5            5            7          7        0     0     0     7
 80  |                              5          5          5          5          7               5           2     4     0     4  |                      5            5            6          5        3     3     0     8  |                      5            5            6          5        1     1     0     6
 81  |                              6          6          6          5          5               6           1     2     0     2  |                      6            6            5          6        2     2     0     8  |                      6            6            5          6        0     0     0     6
 82  |                              5          5          5          6          6               5           2     4     0     4  |                      5            5            5          5        2     2     0     7  |                      5            5            5          5        0     0     0     5
 83  |                              4          4          4          5          5               4           3     6     0     6  |                      4            4            6          4        4     4     0     8  |                      4            4            6          4        2     2     0     6
 84  |                              6          6          6          4          4               6           1     2     0     2  |                      6            6            5          6        3     3     0     9  |                      6            6            5          6        1     1     0     7
 85  |                              5          5          5          6          6               5           2     4     0     4  |                      5            5            4          5        2     2     0     7  |                      5            5            4          5        0     0     0     5
 86  |                              7          7          7          5          5               7           0     0     0     0  |                      7            7            6          7        1     1     0     8  |                      7            7            6          6       -1     0     0     6
 87  |                              2          2          2          7          6               2           4     9     0     9  |                      2            2            5          2        4     4     0     6  |                      2            2            5          3        2     2     0     5
 88  |                              6          6          6          2          3               6           1     2     0     2  |                      6            6            7          6        5     5     0    11  |                      6            6            7          6        3     3     0     9
 89  |                              4          4          4          6          6               4           3     6     0     6  |                      4            4            2          4        3     3     0     7  |                      4            4            2          4        1     1     0     5
 90  |                              4          4          4          4          4               4           3     6     0     6  |                      4            4            6          4        5     5     0     9  |                      4            4            6          4        3     3     0     7
 91  |                              5          5          5          4          4               5           2     4     0     4  |                      5            5            4          5        4     4     0     9  |                      5            5            4          5        2     2     0     7
 92  |                              8          8          8          5          5               7          -1     0    20    20  |                      8            8            4          8        0     0     0     8  |                      8            8            4          6       -2     0     0     6
 93  |                              4          4          4          8          6               5           1     4     0     4  |                      4            4            5          4        1     1     0     5  |                      4            4            5          5       -1     0     0     5
 94  |                              6          6          6          4          5               6           0     1     0     1  |                      6            6            8          6        3     3     0     9  |                      6            6            8          7        1     1     0     8
 95  |                              6          6          6          6          7               6           1     2     0     2  |                      6            6            4          6        1     1     0     7  |                      6            6            4          5       -1     0     0     5
 96  |                              6          6          6          6          5               6           0     1     0     1  |                      6            6            6          6        1     1     0     7  |                      6            6            6          6       -1     0     0     6
 97  |                              4          4          4          6          6               4           2     5     0     5  |                      4            4            6          4        3     3     0     7  |                      4            4            6          5        1     1     0     6
 98  |                              5          5          5          4          5               5           2     4     0     4  |                      5            5            6          5        4     4     0     9  |                      5            5            6          5        2     2     0     7
 99  |                              7          7          7          5          5               7           0     0     0     0  |                      7            7            4          7        1     1     0     8  |                      7            7            4          6       -1     0     0     6
