t,i=1,DISR,IO:EXT,IOPL:EXT,OQ:2,OO:2,IS:2,ISPL:2,RM:2,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,i=2,DISR,IO:1,IOPL:EXT,IOPL:1,OQ:3,OO:3,IS:3,ISPL:3,RM:3,OS:1,DMFS,FR,IL,BO:1,DI:1,HC,SC,ITHC,REV,TC,i=3,DISR,IO:2,IOPL:EXT,IOPL:2,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:2,DMFS,FR,IL,BO:2,DI:2,HC,SC,ITHC,REV,TC
256,,False,4.898050487520144,[],4.898050487520145,12.183403301140443,0.0,[0.0],0.0,0.0,0.0,0.6622878681399339,-5.693403301140442,5.693403301140442,0,0.0,211.3391305383332,0.0,0.0,211.3391305383332,,True,4.898050487520145,[],[],4.898050487520145,17.71340330114046,0.0,[0],0.0,0.0,0.0,0.6041766648869553,-12.183403301140459,12.183403301140459,0.0,0.0,0.0,0.0,0.0,0.0,,False,4.898050487520145,[],[],4.898050487520145,9.706517663606832,3.565911130767475,"[4.808467176086708, 4.898050487520145]",0.0,0,0.0,0.9388683108183533,0.983482336393168,0.0,17.713403301140474,37.39377127506728,0,0.0,0,37.39377127506728
257,,False,5.04213408174193,[],5.04213408174193,17.225537382882372,0.0,[0.0],0.0,0.0,0.0,0.6597487367253363,-10.735537382882372,10.735537382882372,0,0.0,398.5031476525936,0.0,0.0,398.5031476525936,,False,5.04213408174193,[],[],5.042134081741929,22.755537382882387,0.0,[22.7555373828824],0.0,0.0,0.0,0.6018603247823272,-17.225537382882386,17.225537382882386,0.0,0.0,0.0,0.0,0.0,0.0,,False,5.042134081741929,[],[],5.042134081741929,9.940184569262051,4.808467176086708,"[4.898050487520145, 5.042134081741929]",0.0,22.7555373828824,22.7555373828824,0.9525713922250523,0.7498154307379474,8.881784197001252e-16,0.0,1.4996308614758949,0,45.5110747657648,0.0,47.0107056272407
258,,False,5.85135426460051,[],5.85135426460051,23.07689164748288,0.0,[22.7555373828824],0.0,0.0,0.0,0.6568263951381282,-16.586891647482883,16.586891647482883,0,0.0,615.7054179545646,0.0,0.0,615.7054179545646,,False,5.85135426460051,[],[],5.851354264600509,5.851354264600495,22.7555373828824,[5.647865918258092],0.0,22.7555373828824,5.530000000000015,0.6033806098987747,-0.32135426460049477,0.32135426460049477,0.0,0.0,0.0,91.0221495315296,0.0,91.0221495315296,,False,5.851354264600509,[],[],5.851354264600511,10.893488346342417,4.898050487520145,"[5.042134081741929, 5.851354264600511]",0.0,5.647865918258092,5.647865918258091,0.9526274354056626,-0.20348834634241708,0.20348834634241797,0.0,0.0,0.0,11.295731836516184,0.0,11.295731836516184
259,,False,4.379636277464448,[],4.37963627746445,4.700990542064929,22.7555373828824,[4.700990542064945],0.0,20.966527924947332,4.379636277464449,0.6579603883827134,1.7890094579350704,0.0,0,12.523066205545494,0.0,0.0,0.0,12.523066205545494,,False,4.37963627746445,[],[],4.37963627746445,4.583124623806852,5.647865918258092,[4.583124623806868],0.0,4.700990542064945,4.37963627746445,0.6046912110134127,0.9468753761931472,0.0,0.0,3.787501504772589,0,18.80396216825978,0.0,22.59146367303237,,False,4.37963627746445,[],[],4.379636277464448,10.230990542064937,5.042134081741929,"[5.851354264600511, 4.379636277464448]",0.0,4.583124623806868,4.37963627746445,0.952783974741636,0.4590094579350614,0.0,0.0,0.9180189158701229,0,9.166249247613736,0.0,10.08426816348386
260,,False,4.4527201636624785,[],4.452720163662479,4.452720163662464,4.700990542064945,[4.452720163662479],0.0,4.4527201636624785,4.4527201636624785,0.6591056474921647,2.037279836337537,0.0,0,14.260958854362759,0.0,0.0,0.0,14.260958854362759,,False,4.452720163662479,[],[],4.45272016366248,4.452720163662465,4.583124623806868,[4.45272016366248],0.0,4.452720163662479,4.452720163662479,0.6060148325363479,1.077279836337536,0.0,0.0,4.309119345350144,0,17.810880654649917,0.0,22.12000000000006,,False,4.45272016366248,[],[],4.452720163662482,8.832356441126908,5.851354264600511,"[4.379636277464448, 4.452720163662482]",0.0,4.45272016366248,4.45272016366248,0.9529420692464904,1.8576435588730922,0.0,0.0,3.7152871177461844,0,8.90544032732496,0.0,12.620727445071145
261,,False,3.771945980876376,[],3.771945980876375,3.7719459808763594,4.452720163662479,[3.771945980876375],0.0,3.771945980876376,3.771945980876376,0.6600698252970242,2.7180540191236404,0.0,0,19.02637813386548,0.0,0.0,0.0,19.02637813386548,,False,3.771945980876375,[],[],3.771945980876374,3.7719459808763585,4.45272016366248,[3.771945980876374],0.0,3.771945980876375,3.771945980876375,0.6071291711902965,1.7580540191236413,0.0,0.0,7.032216076494565,0,15.0877839235055,0.0,22.120000000000065,,False,3.771945980876374,[],[],3.7719459808763727,8.224666144538833,4.379636277464448,"[4.452720163662482, 3.7719459808763727]",0.0,3.771945980876374,3.771945980876374,0.9530751668236176,2.4653338554611666,0.0,0.0,4.930667710922333,0,7.543891961752748,0.0,12.474559672675081
262,,False,4.373475817311456,[],4.373475817311456,4.373475817311441,3.771945980876375,[4.373475817311456],0.0,4.373475817311456,4.373475817311456,0.6611809591951248,2.1165241826885595,0.0,0,14.815669278819916,0.0,0.0,0.0,14.815669278819916,,False,4.373475817311456,[],[],4.373475817311457,4.373475817311441,3.771945980876374,[4.373475817311457],0.0,4.373475817311456,4.373475817311456,0.6084133528486233,1.1565241826885595,0.0,0.0,4.626096730754238,0,17.493903269245823,0.0,22.12000000000006,,False,4.373475817311457,[],[],4.373475817311457,8.145421798187808,4.452720163662482,"[3.7719459808763727, 4.373475817311457]",0.0,4.373475817311457,4.373475817311457,0.9532285505967721,2.5445782018121914,0.0,0.0,5.089156403624383,0,8.746951634622913,0.0,13.836108038247296
263,,False,2.8078699437580212,[],2.8078699437580212,2.807869943758006,4.373475817311456,[2.8078699437580212],0.0,2.8078699437580212,2.8078699437580212,0.6618905113073048,3.682130056241994,0.0,0,25.774910393693958,0.0,0.0,0.0,25.774910393693958,,False,2.8078699437580212,[],[],2.8078699437580212,2.8078699437580052,4.373475817311457,[2.8078699437580212],0.0,2.8078699437580212,2.8078699437580212,0.6092334104579231,2.722130056241995,0.0,0.0,10.88852022496798,0,11.231479775032085,0.0,22.120000000000065,,False,2.8078699437580212,[],[],2.8078699437580212,7.181345761069457,3.7719459808763727,"[4.373475817311457, 2.8078699437580212]",0.0,2.8078699437580212,2.8078699437580212,0.9533264989902123,3.508654238930543,0.0,0.0,7.017308477861086,0,5.6157398875160425,0.0,12.633048365377128
264,,False,5.851402092378828,[],5.851402092378828,5.851402092378812,2.8078699437580212,[5.530000000000016],0.0,5.851402092378828,5.851402092378828,0.663359659484379,0.638597907621187,0.0,0,4.470185353348309,0.0,0.0,0.0,4.470185353348309,,True,5.851402092378828,[],[],5.851402092378828,5.851402092378812,2.8078699437580212,[0],0.0,5.530000000000016,5.530000000000016,0.6106926939224838,-0.3214020923788121,0.3214020923788121,0.0,0.0,0.0,22.120000000000065,0.0,22.120000000000065,,False,5.851402092378828,[],[],5.851402092378828,8.659272036136828,4.373475817311457,"[2.8078699437580212, 5.851402092378828]",0.0,0,0.0,0.9491841192730287,2.0307279638631712,0.0,5.851402092378828,15.764260112484,0,0.0,0,15.764260112484
265,,False,4.0120641542034585,[],4.012064154203459,4.3334662465822555,5.530000000000016,[0.0],0.0,4.0120641542034585,4.0120641542034585,0.6643596372638524,2.1565337534177447,0.0,0,15.095736273924214,0.0,0.0,0.0,15.095736273924214,,False,4.012064154203459,[],[],4.012064154203459,9.863466246582272,0.0,[9.863466246582288],0.0,0.0,0.0,0.6088786536827614,-4.3334662465822715,4.3334662465822715,0.0,0.0,0.0,0.0,0.0,0.0,,False,4.012064154203459,[],[],4.012064154203459,9.863466246582266,2.8078699437580212,"[5.851402092378828, 4.012064154203459]",0.0,9.863466246582288,9.863466246582288,0.9536673434701226,0.826533753417733,0.0,0.0,1.653067506835466,0,19.726932493164576,0.0,21.38000000000004
