t,|i=2,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:2,IOPL:2,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=0,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC
23,|,8.0,[0],8.0,9.0,7.0,"[0, 7.0, 0]",0.0,7.0,6.0,0.8409090909090909,-2.0,0.0,200.0,0.0,200.0,|,8.0,[0],8.0,9.0,7.0,"[0, 8.0, 0]",0.0,7.0,6.0,0.8560606060606061,-2.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,8.0,"[0, 8.0, 0]",0.0,8.0,7.0,0.9090909090909091,-1.0,0,0.0,0.0,0.0
24,|,10.0,[0],10.0,12.0,7.0,"[0, 8.0, 0]",0.0,7.0,5.0,0.8169014084507042,-5.0,0.0,500.0,0.0,500.0,|,10.0,[0],10.0,11.0,8.0,"[0, 8.0, 0]",0.0,8.0,6.0,0.8380281690140845,-4.0,0.0,0.0,0.0,0.0,|,10.0,[0],10.0,10.0,8.0,"[0, 10.0, 0]",0.0,8.0,7.0,0.8943661971830986,-3.0,0,0.0,0.0,0.0
25,|,5.0,[0],5.0,9.0,8.0,"[0, 8.0, 0]",0.0,8.0,3.0,0.8095238095238095,-2.0,0.0,200.0,0.0,200.0,|,5.0,[0],5.0,8.0,8.0,"[0, 8.0, 0]",0.0,8.0,4.0,0.8367346938775511,-1.0,0.0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,10.0,"[0, 5.0, 0]",0.0,8.0,5.0,0.8979591836734694,2.0,2.0,0,0.0,2.0
26,|,8.0,[0],8.0,9.0,8.0,"[0, 8.0, 0]",0.0,8.0,6.0,0.8064516129032258,-2.0,0.0,200.0,0.0,200.0,|,8.0,[0],8.0,8.0,8.0,"[0, 7.0, 0]",0.0,8.0,7.0,0.8387096774193549,-1.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,5.0,"[0, 8.0, 0]",0.0,7.0,7.0,0.896774193548387,-1.0,0,0.0,0.0,0.0
27,|,10.0,[0],10.0,11.0,8.0,"[0, 7.0, 0]",0.0,8.0,6.0,0.793939393939394,-4.0,0.0,400.0,0.0,400.0,|,10.0,[0],10.0,11.0,7.0,"[0, 8.0, 0]",0.0,7.0,6.0,0.8242424242424242,-4.0,0.0,0.0,0.0,0.0,|,10.0,[0],10.0,10.0,8.0,"[0, 10.0, 0]",0.0,8.0,7.0,0.8848484848484849,-3.0,0,0.0,0.0,0.0
28,|,9.0,[0],9.0,13.0,7.0,"[0, 8.0, 0]",0.0,7.0,3.0,0.7701149425287356,-6.0,0.0,600.0,0.0,600.0,|,9.0,[0],9.0,12.0,8.0,"[0, 10.0, 0]",0.0,8.0,4.0,0.8045977011494253,-5.0,0.0,0.0,0.0,0.0,|,9.0,[0],9.0,9.0,10.0,"[0, 9.0, 0]",0.0,10.0,7.0,0.8793103448275862,-2.0,0,0.0,0.0,0.0
29,|,5.0,[0],5.0,10.0,8.0,"[0, 10.0, 0]",0.0,8.0,2.0,0.7597765363128491,-3.0,0.0,300.0,0.0,300.0,|,5.0,[0],5.0,7.0,10.0,"[0, 7.0, 0]",0.0,10.0,5.0,0.8100558659217877,0.0,0.0,0,0.0,0.0,|,5.0,[0],5.0,5.0,9.0,"[0, 5.0, 0]",0.0,7.0,5.0,0.88268156424581,2.0,2.0,0,0.0,2.0
30,|,5.0,[0],5.0,5.0,10.0,"[0, 5.0, 0]",0.0,8.0,5.0,0.7663043478260869,2.0,20.0,0,0.0,20.0,|,5.0,[0],5.0,5.0,7.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.8152173913043478,2.0,10.0,0,0.0,10.0,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.8858695652173914,2.0,2.0,0,0.0,2.0
31,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.7724867724867724,2.0,20.0,0,0.0,20.0,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.8201058201058201,2.0,10.0,0,0.0,10.0,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.8888888888888888,2.0,2.0,0,0.0,2.0
32,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.7760416666666666,4.0,40.0,0,0.0,40.0,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.8229166666666666,4.0,20.0,0,0.0,20.0,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.890625,4.0,4.0,0,0.0,4.0
