t,|i=0,IO:EXT,IOPL:EXT,OQ:1,OQ:2,OO:1,OO:2,IS:1,IS:2,ISPL:1,ISPL:2,RM:1,RM:2,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC,|i=2,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC
20,|,51.861501348833535,[0],51.861501348833535,51.861501348833535,58.502145490085994,58.502145490085994,60.362129379727676,60.362129379727676,"[0, 58.50214549008601, 0]","[0, 58.50214549008601, 0]",0.0,0.0,58.86427486981368,51.861501348833535,0.8673451895830852,1.4978545099139993,0.0,0,0.0,0.0,|,51.861501348833535,[0],51.86150134883353,51.861501348833485,66.64064414125252,"[0, 51.86150134883353, 0]",0.0,58.50214549008601,51.861501348833535,0.8845401919140216,8.138498651166515,0.0,0,0.0,0.0,|,51.861501348833535,[0],51.86150134883353,51.861501348833485,66.64064414125252,"[0, 51.86150134883353, 0]",0.0,58.50214549008601,51.861501348833535,0.8845401919140216,8.138498651166515,0.0,0,0.0,0.0
21,|,39.6520247580214,[0],39.652024758021405,39.652024758021405,39.65202475802138,39.65202475802138,58.50214549008601,58.50214549008601,"[0, 39.652024758021405, 0]","[0, 39.652024758021405, 0]",0.0,0.0,39.6520247580214,39.6520247580214,0.8720292591177594,20.34797524197861,0.0,0,0.0,0.0,|,39.652024758021405,[0],39.652024758021405,39.65202475802137,51.86150134883353,"[0, 39.652024758021405, 0]",0.0,39.652024758021405,39.652024758021405,0.8884103207841424,20.347975241978638,0.0,0,0.0,0.0,|,39.652024758021405,[0],39.652024758021405,39.65202475802137,51.86150134883353,"[0, 39.652024758021405, 0]",0.0,39.652024758021405,39.652024758021405,0.8884103207841424,20.347975241978638,0.0,0,0.0,0.0
22,|,61.92064405781714,[0],61.92064405781715,61.92064405781715,61.920644057817135,61.920644057817135,39.652024758021405,39.652024758021405,"[0, 60.00000000000004, 0]","[0, 60.00000000000004, 0]",0.0,0.0,60.000000000000014,60.000000000000014,0.8770959101957078,-1.9206440578171282,0.0,0.0,0.0,0.0,|,61.92064405781715,[0],61.92064405781714,61.92064405781711,39.652024758021405,"[0, 61.92064405781714, 0]",0.0,60.00000000000004,60.00000000000004,0.8924179764460867,-1.920644057817107,0,0.0,0.0,0.0,|,61.92064405781715,[0],61.92064405781714,61.92064405781711,39.652024758021405,"[0, 61.92064405781714, 0]",0.0,60.00000000000004,60.00000000000004,0.8924179764460867,-1.920644057817107,0,0.0,0.0,0.0
23,|,64.49842163183531,[0],64.4984216318353,64.4984216318353,66.41906568965238,66.41906568965238,60.00000000000004,60.00000000000004,"[0, 61.92064405781714, 0]","[0, 61.92064405781714, 0]",0.0,0.0,60.00000000000004,58.079355942182914,0.878302951205652,-6.419065689652399,0.0,0.0,0.0,0.0,|,64.4984216318353,[0],64.4984216318353,64.49842163183526,61.92064405781714,"[0, 64.4984216318353, 0]",0.0,61.92064405781714,60.000000000000036,0.8942817953549531,-4.498421631835264,0,0.0,0.0,0.0,|,64.4984216318353,[0],64.4984216318353,64.49842163183526,61.92064405781714,"[0, 64.4984216318353, 0]",0.0,61.92064405781714,60.000000000000036,0.8942817953549531,-4.498421631835264,0,0.0,0.0,0.0
24,|,72.16493242240162,[0],72.16493242240163,72.16493242240163,76.66335405423688,76.66335405423688,61.92064405781714,61.92064405781714,"[0, 64.4984216318353, 0]","[0, 64.4984216318353, 0]",0.0,0.0,61.92064405781714,55.50157836816474,0.8723394091861194,-16.663354054236876,0.0,0.0,0.0,0.0,|,72.16493242240163,[0],72.16493242240165,72.16493242240159,64.4984216318353,"[0, 72.16493242240165, 0]",0.0,64.4984216318353,60.000000000000036,0.8909986723022807,-12.164932422401598,0,0.0,0.0,0.0,|,72.16493242240163,[0],72.16493242240165,72.16493242240159,64.4984216318353,"[0, 72.16493242240165, 0]",0.0,64.4984216318353,60.000000000000036,0.8909986723022807,-12.164932422401598,0,0.0,0.0,0.0
25,|,50.548457101386624,[0],50.548457101386624,50.548457101386624,62.71338952378821,62.71338952378821,64.4984216318353,64.4984216318353,"[0, 62.71338952378822, 0]","[0, 62.71338952378822, 0]",0.0,0.0,64.4984216318353,47.83506757759842,0.8750649187273901,-2.7133895237882015,0.0,0.0,0.0,0.0,|,50.548457101386624,[0],50.54845710138663,50.548457101386575,72.16493242240165,"[0, 50.54845710138663, 0]",0.0,62.71338952378822,50.548457101386624,0.8948460785508341,9.451542898613425,0.0,0,0.0,0.0,|,50.548457101386624,[0],50.54845710138663,50.548457101386575,72.16493242240165,"[0, 50.54845710138663, 0]",0.0,62.71338952378822,50.548457101386624,0.8948460785508341,9.451542898613425,0.0,0,0.0,0.0
26,|,61.227401362381364,[0],61.22740136238136,61.22740136238136,61.22740136238134,61.22740136238134,62.71338952378822,62.71338952378822,"[0, 60.00000000000006, 0]","[0, 60.00000000000006, 0]",0.0,0.0,62.71338952378822,60.00000000000002,0.8795454540850258,-1.2274013623813431,0.0,0.0,0.0,0.0,|,61.22740136238136,[0],61.22740136238136,61.2274013623813,50.54845710138663,"[0, 61.22740136238136, 0]",0.0,60.00000000000006,60.00000000000006,0.8983355474594529,-1.2274013623813005,0,0.0,0.0,0.0,|,61.22740136238136,[0],61.22740136238136,61.2274013623813,50.54845710138663,"[0, 61.22740136238136, 0]",0.0,60.00000000000006,60.00000000000006,0.8983355474594529,-1.2274013623813005,0,0.0,0.0,0.0
27,|,70.23851942419557,[0],70.23851942419557,70.23851942419557,71.46592078657687,71.46592078657687,60.00000000000006,60.00000000000006,"[0, 61.22740136238136, 0]","[0, 61.22740136238136, 0]",0.0,0.0,60.00000000000006,58.772598637618714,0.8775466172009045,-11.46592078657686,0.0,0.0,0.0,0.0,|,70.23851942419557,[0],70.23851942419557,70.23851942419552,61.22740136238136,"[0, 70.23851942419557, 0]",0.0,61.22740136238136,60.00000000000006,0.8963543262928881,-10.238519424195516,0,0.0,0.0,0.0,|,70.23851942419557,[0],70.23851942419557,70.23851942419552,61.22740136238136,"[0, 70.23851942419557, 0]",0.0,61.22740136238136,60.00000000000006,0.8963543262928881,-10.238519424195516,0,0.0,0.0,0.0
28,|,67.30550515737056,[0],67.30550515737055,67.30550515737055,77.54402458156605,77.54402458156605,61.22740136238136,61.22740136238136,"[0, 70.23851942419557, 0]","[0, 70.23851942419557, 0]",0.0,0.0,61.22740136238136,49.7614805758045,0.8716248906921358,-17.544024581566063,0.0,0.0,0.0,0.0,|,67.30550515737055,[0],67.30550515737055,67.3055051573705,70.23851942419557,"[0, 67.30550515737055, 0]",0.0,70.23851942419557,60.00000000000006,0.8961522368713016,-7.30550515737049,0,0.0,0.0,0.0,|,67.30550515737055,[0],67.30550515737055,67.3055051573705,70.23851942419557,"[0, 67.30550515737055, 0]",0.0,70.23851942419557,60.00000000000006,0.8961522368713016,-7.30550515737049,0,0.0,0.0,0.0
29,|,50.70894151736557,[0],50.70894151736558,50.70894151736558,58.014446674736064,58.014446674736064,70.23851942419557,70.23851942419557,"[0, 58.01444667473607, 0]","[0, 58.01444667473607, 0]",0.0,0.0,68.25296609893164,50.708941517365574,0.8756393623323081,1.9855533252639432,0.0,0,0.0,0.0,|,50.70894151736558,[0],50.70894151736557,50.70894151736552,67.30550515737055,"[0, 50.70894151736557, 0]",0.0,58.01444667473607,50.70894151736558,0.8992838312874097,9.291058482634476,0.0,0,0.0,0.0,|,50.70894151736558,[0],50.70894151736557,50.70894151736552,67.30550515737055,"[0, 50.70894151736557, 0]",0.0,58.01444667473607,50.70894151736558,0.8992838312874097,9.291058482634476,0.0,0,0.0,0.0
