t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
29,|,0.3756863999078446,6.1143136000921565,6.114313600092155,3.6191974018225004,3.6191974018224995,3.6191974018225004,3.6191974018225004,0.999981111760624,2.870802598177499,0.0,20.095618187242493,0.0,0.0,20.095618187242493,|,4.6850709412714,5.3985046830814145,5.3985046830814145,3.6191974018224995,5.179935377561839,3.6191974018224995,3.6191974018224995,1.0,6.464378222530315,0.0,25.85751289012126,0.0,14.476789607289998,40.33430249741126,|,4.129437555223921,12.490332836902544,5.50076665860022,5.179935377561839,6.209407644256132,5.179935377561839,5.179935377561839,0.9415732747873112,4.450268836262302,0.0,8.900537672524605,0.0,10.359870755123678,19.260408427648283
30,|,2.870802598177499,3.619197401822502,3.6191974018224995,6.015424517555433,6.015424517555432,6.015424517555433,6.015424517555433,0.9999818802938764,0.4745754824445658,0.0,3.3220283771119608,0.0,0.0,3.3220283771119608,|,6.464378222530315,5.179935377561838,5.179935377561839,6.015424517555432,3.5203083192857783,6.015424517555432,6.015424517555432,1.0,5.628889082536722,0.0,22.51555633014689,0.0,24.061698070221727,46.577254400368616,|,4.450268836262302,13.198973822558457,6.989566178302324,3.5203083192857783,0.0,3.5203083192857783,3.5203083192857783,0.942931255270197,7.919526695278847,0.0,15.839053390557694,0.0,7.0406166385715565,22.87967002912925
31,|,0.4745754824445658,6.015424517555435,6.015424517555432,5.224081283287703,5.224081283287702,5.224081283287703,5.224081283287703,0.9999824987156201,1.265918716712295,0.0,8.861431016986064,0.0,0.0,8.861431016986064,|,5.628889082536722,3.5203083192857774,3.5203083192857783,5.224081283287702,7.620308399020636,5.224081283287702,5.224081283287702,1.0,3.9251161185348,0.0,15.7004644741392,0.0,20.896325133150807,36.596789607290006,|,7.919526695278847,6.2094076442561335,6.209407644256132,7.620308399020636,10.097909494504371,7.620308399020636,7.620308399020636,0.9456649732810779,6.508625940514343,0.0,13.017251881028686,0.0,15.240616798041271,28.257868679069958
32,|,1.265918716712295,5.224081283287705,5.224081283287702,4.355448885729298,4.355448885729298,4.355448885729298,4.355448885729298,0.9999829829340104,2.1345511142706988,0.0,14.94185779989489,0.0,0.0,14.94185779989489,|,3.9251161185348,7.620308399020635,7.620308399020636,4.355448885729298,3.564105651461567,4.355448885729298,4.355448885729298,1.0,7.189975631826138,0.0,28.75990252730455,0.0,17.42179554291719,46.18169807022174,|,6.508625940514343,10.097909494504371,0.0,3.564105651461567,4.4765353811957596,3.564105651461567,3.564105651461567,0.9468556410254716,2.944520289052776,0.0,5.889040578105552,0.0,7.128211302923134,13.017251881028686
33,|,2.1345511142706988,4.3554488857293014,4.355448885729298,5.661531660367694,5.661531660367694,5.661531660367694,5.661531660367694,0.9999835736955911,0.8284683396323027,0.0,5.799278377426119,0.0,0.0,5.799278377426119,|,7.189975631826138,3.564105651461566,3.564105651461567,5.661531660367694,4.79289926280929,5.661531660367694,5.661531660367694,1.0,5.09254962292001,0.0,20.37019849168004,0.0,22.646126641470776,43.016325133150815,|,2.944520289052776,14.57444487570013,10.097909494504371,4.79289926280929,0.6594073519595476,4.79289926280929,4.79289926280929,0.9483768978312657,8.249530520747857,0.0,16.499061041495715,0.0,9.58579852561858,26.084859567114293
34,|,0.8284683396323027,5.6615316603676975,5.661531660367694,6.292964845138368,6.292964845138368,6.292964845138368,6.292964845138368,0.9999841839987484,0.19703515486162893,0.0,1.3792460840314025,0.0,0.0,1.3792460840314025,|,5.09254962292001,4.792899262809289,4.79289926280929,6.292964845138368,7.599047619776766,6.292964845138368,6.292964845138368,1.0,3.592484040590932,0.0,14.369936162363729,0.0,25.17185938055347,39.5417955429172,|,8.249530520747857,5.135942733155307,4.4765353811957596,7.599047619776766,11.00255640332129,7.599047619776766,7.599047619776766,0.9506180653844306,5.127018282166851,0.0,10.254036564333703,0.0,15.198095239553531,25.452131803887234
35,|,0.19703515486162893,6.29296484513837,6.292964845138368,4.104687954691534,4.104687954691535,4.104687954691534,4.104687954691534,0.9999845582195837,2.3853120453084626,0.0,16.697184317159238,0.0,0.0,16.697184317159238,|,3.592484040590932,7.599047619776765,7.599047619776766,4.104687954691535,4.73612113946221,4.104687954691535,4.104687954691535,1.0,7.086843705676163,0.0,28.34737482270465,0.0,16.41875181876614,44.76612664147079,|,5.127018282166851,11.661963755280837,0.6594073519595476,4.73612113946221,6.867619906561959,4.73612113946221,4.73612113946221,0.951919034665615,1.0503044946641893,0.0,2.1006089893283786,0.0,9.47224227892442,11.572851268252798
36,|,2.3853120453084626,4.1046879546915385,4.104687954691535,4.431689346880682,4.431689346880681,4.431689346880682,4.431689346880682,0.9999849428669159,2.0583106531193156,0.0,14.40817457183521,0.0,0.0,14.40817457183521,|,7.086843705676163,4.73612113946221,4.73612113946221,4.431689346880681,2.2434124564338447,4.431689346880681,4.431689346880681,1.0,7.391275498257691,0.0,29.565101993030765,0.0,17.726757387522724,47.29185938055349,|,1.0503044946641893,17.87017630988325,11.00255640332129,2.2434124564338447,0.0,2.2434124564338447,2.2434124564338447,0.952511649274694,9.809448441551634,0.0,19.618896883103268,0.0,4.486824912867689,24.105721795970958
37,|,2.0583106531193156,4.431689346880685,4.431689346880681,2.8883816420774937,2.8883816420774937,2.8883816420774937,2.8883816420774937,0.999985183413274,3.601618357922503,0.0,25.21132850545752,0.0,0.0,25.21132850545752,|,7.391275498257691,2.2434124564338447,2.2434124564338447,2.8883816420774937,3.215383034266642,2.8883816420774937,2.8883816420774937,1.0,6.746306312614042,0.0,26.985225250456168,0.0,11.553526568309975,38.538751818766144,|,9.809448441551634,6.867619906561959,6.867619906561959,3.215383034266642,0.0,3.215383034266642,3.215383034266642,0.9533359863897117,13.461685313846951,0.0,26.923370627693902,0.0,6.430766068533284,33.35413669622719
38,|,3.601618357922503,2.8883816420774977,2.8883816420774937,4.181692281275389,4.181692281275389,4.181692281275389,4.181692281275389,0.9999855183569866,2.308307718724608,0.0,16.158154031072257,0.0,0.0,16.158154031072257,|,6.746306312614042,3.215383034266642,3.215383034266642,4.181692281275389,2.638384576472202,4.181692281275389,4.181692281275389,1.0,5.779997065605295,0.0,23.11998826242118,0.0,16.726769125101555,39.846757387522736,|,13.461685313846951,0.0,0.0,2.638384576472202,1.538774592088707,2.638384576472202,2.638384576472202,0.953991320717014,10.82330073737475,0.0,21.6466014747495,0.0,5.276769152944404,26.923370627693902
39,|,2.308307718724608,4.181692281275392,4.181692281275389,4.037616387669554,4.037616387669554,4.037616387669554,4.037616387669554,0.9999858276976789,2.4523836123304426,0.0,17.166685286313097,0.0,0.0,17.166685286313097,|,5.779997065605295,2.638384576472202,2.638384576472202,4.037616387669554,5.330927026867449,4.037616387669554,4.037616387669554,1.0,4.380765254407943,0.0,17.523061017631772,0.0,16.150465550678216,33.67352656830999,|,10.82330073737475,1.538774592088707,0.0,5.330927026867449,7.590546913074093,5.330927026867449,5.330927026867449,0.9552608229150429,5.492373710507301,0.0,10.984747421014601,0.0,10.661854053734897,21.6466014747495
40,|,2.4523836123304426,4.0376163876695585,4.037616387669554,5.124501672999136,5.124501672999135,5.124501672999136,5.124501672999136,0.9999862017814104,1.3654983270008607,0.0,9.558488289006025,0.0,0.0,9.558488289006025,|,4.380765254407943,5.330927026867449,5.330927026867449,5.124501672999135,4.980425779393301,5.124501672999135,5.124501672999135,1.0,4.587190608276257,0.0,18.348762433105026,0.0,20.49800669199654,38.84676912510157,|,5.492373710507301,9.1293215051628,1.538774592088707,4.980425779393301,6.235581696984816,4.980425779393301,4.980425779393301,0.9563851478182481,2.0507225232027064,0.0,4.101445046405413,0.0,9.960851558786603,14.062296605192016
