t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
18,|,2.8396188272952623,3.650381172704738,3.6503811727047326,6.036212937972767,6.036212937972767,6.036212937972767,6.036212937972767,0.9584262725650101,0.45378706202722796,0.0,3.1765094341905957,0.0,0.0,3.1765094341905957,|,1.8796188272952676,3.6503811727047326,3.6503811727047335,6.036212937972767,6.036212937972767,5.530000000000001,5.530000000000001,0.8854207592487248,-0.5062129379727658,0.5062129379727658,0.0,0.0,22.120000000000005,22.120000000000005,|,4.282961984763298,6.407038015236703,2.7566568425319646,6.036212937972767,6.036212937972765,6.036212937972767,6.036212937972767,0.912173946437833,1.0034058893224955,0.0,2.006811778644991,0.0,12.072425875945534,14.079237654590525
19,|,0.45378706202722796,6.036212937972771,5.530000000000001,6.664064414125252,6.664064414125253,5.983787062027229,5.983787062027229,0.9545169412999792,-0.680277352098023,0.680277352098023,0.0,25.251895309878613,0.0,25.251895309878613,|,-0.5062129379727658,6.036212937972767,6.036212937972767,6.664064414125253,6.664064414125252,6.036212937972767,5.530000000000001,0.8818287136642495,-1.1340644141252518,1.1340644141252518,0.0,0.0,24.144851751891068,24.144851751891068,|,1.0034058893224955,9.686594110677504,3.6503811727047353,6.664064414125252,6.664064414125252,4.653787062027231,4.653787062027231,0.8983584337059017,-2.0102773520980213,2.0102773520980213,0.0,0.0,9.307574124054462,9.307574124054462
20,|,-0.680277352098023,7.170277352098022,6.036212937972767,5.186150134883354,5.186150134883355,5.866427486981377,5.186150134883354,0.9566943604021958,0.16978545099139009,0.0,1.1884981569397306,0.0,0.0,1.1884981569397306,|,-1.1340644141252518,6.664064414125253,4.653787062027231,5.186150134883355,5.186150134883354,4.653787062027231,3.519722647901979,0.8721032100346914,-1.6664274869813758,1.6664274869813758,0.0,0.0,18.615148248108923,18.615148248108923,|,-2.0102773520980213,12.700277352098022,6.036212937972765,5.186150134883354,5.186150134883352,6.036212937972765,4.025935585874744,0.8925144354606841,-1.16021454900861,1.16021454900861,0.0,0.0,12.07242587594553,12.07242587594553
21,|,0.16978545099139009,6.320214549008611,4.653787062027231,3.96520247580214,3.965202475802139,3.96520247580214,3.96520247580214,0.958223491735482,0.8583700372164809,0.0,6.008590260515366,0.0,0.0,6.008590260515366,|,-1.6664274869813758,7.196427486981376,6.036212937972765,3.965202475802139,3.965202475802139,5.631629962783515,3.9652024758021396,0.8766192728565092,0.40458297518925024,0.0,1.618331900757001,0.0,22.52651985113406,24.14485175189106,|,-1.16021454900861,11.85021454900861,6.664064414125252,3.965202475802139,3.965202475802137,5.12541702481075,3.9652024758021396,0.8963097735769087,1.538647389314503,0.0,3.077294778629006,0.0,10.2508340496215,13.328128828250506
22,|,0.8583700372164809,5.631629962783519,5.631629962783515,6.192064405781714,6.192064405781714,6.192064405781714,6.192064405781714,0.9604066855185287,0.2979355942182824,0.0,2.085549159527977,0.0,0.0,2.085549159527977,|,0.40458297518925024,5.12541702481075,5.12541702481075,6.192064405781714,6.192064405781715,5.529999999999999,5.529999999999999,0.8774794171798005,-0.6620644057817149,0.6620644057817149,0.0,0.0,22.119999999999997,22.119999999999997,|,1.538647389314503,9.151352610685496,5.186150134883352,6.192064405781715,6.192064405781715,6.192064405781715,6.192064405781715,0.901728509299297,0.5327331184161403,0.0,1.0654662368322807,0.0,12.38412881156343,13.449595048395711
23,|,0.2979355942182824,6.192064405781718,5.529999999999999,6.449842163183532,6.449842163183532,5.827935594218282,5.827935594218282,0.9574729452325537,-0.6219065689652501,0.6219065689652501,0.0,23.085171839990082,0.0,23.085171839990082,|,-0.6620644057817149,6.192064405781716,6.192064405781715,6.449842163183532,6.449842163183531,6.192064405781715,5.53,0.8764420735566314,-0.9198421631835316,0.9198421631835316,0.0,0.0,24.76825762312686,24.76825762312686,|,0.5327331184161403,10.157266881583858,3.965202475802137,6.449842163183531,6.449842163183533,4.497935594218277,4.497935594218277,0.8911787173992609,-1.9519065689652537,1.9519065689652537,0.0,0.0,8.995871188436555,8.995871188436555
24,|,-0.6219065689652501,7.111906568965251,6.192064405781715,7.216493242240163,7.216493242240162,6.192064405781715,5.570157836816465,0.9473375487989408,-1.6463354054236978,1.6463354054236978,0.0,61.11197024932766,0.0,61.11197024932766,|,-0.9198421631835316,6.449842163183532,4.497935594218277,7.216493242240162,7.216493242240162,4.497935594218277,3.5780934310347456,0.8556577422363406,-3.6383998112054163,3.6383998112054163,0.0,0.0,17.99174237687311,17.99174237687311,|,-1.9519065689652537,12.641906568965254,6.192064405781715,7.216493242240162,7.21649324224016,6.192064405781715,4.240157836816461,0.8745994424276745,-2.9763354054237006,2.9763354054237006,0.0,0.0,12.38412881156343,12.38412881156343
25,|,-1.6463354054236978,8.136335405423697,4.497935594218277,5.054845710138663,5.054845710138664,4.497935594218277,2.8516001887945794,0.9332201166602306,-2.2032455213440834,2.2032455213440834,0.0,81.78447375229237,0.0,81.78447375229237,|,-3.6383998112054163,9.168399811205418,6.192064405781715,5.054845710138664,5.054845710138662,6.192064405781715,2.553664594576299,0.8427464347117805,-2.501181115562365,2.501181115562365,0.0,0.0,24.76825762312686,24.76825762312686,|,-2.9763354054237006,13.666335405423702,6.449842163183533,5.054845710138662,5.05484571013866,6.449842163183533,3.473506757759832,0.8676942434635632,-1.5813389523788297,1.5813389523788297,0.0,0.0,12.899684326367066,12.899684326367066
26,|,-2.2032455213440834,8.693245521344085,6.192064405781715,6.122740136238137,6.122740136238135,6.192064405781715,3.9888188844376318,0.9211848194924471,-2.133921251800505,2.133921251800505,0.0,79.21115686683473,0.0,79.21115686683473,|,-2.501181115562365,8.031181115562365,6.449842163183533,6.122740136238135,6.122740136238135,6.449842163183533,3.948661047621168,0.8342957408549152,-2.174079088616967,2.174079088616967,0.0,0.0,25.79936865273413,25.79936865273413,|,-1.5813389523788297,12.27133895237883,7.21649324224016,6.122740136238135,6.122740136238133,7.21649324224016,5.6351542898613305,0.8699441772848863,-0.48758584637680435,0.48758584637680435,0.0,0.0,14.43298648448032,14.43298648448032
27,|,-2.133921251800505,8.623921251800507,6.449842163183533,7.023851942419556,7.0238519424195545,6.449842163183533,4.315920911383028,0.9068565292019224,-2.7079310310365283,2.7079310310365283,0.0,100.51839987207592,0.0,100.51839987207592,|,-2.174079088616967,7.704079088616968,7.21649324224016,7.0238519424195545,7.023851942419554,7.21649324224016,5.042414153623193,0.8288582762193295,-1.9814377887963612,1.9814377887963612,0.0,0.0,28.86597296896064,28.86597296896064,|,-0.48758584637680435,11.177585846376802,5.05484571013866,7.023851942419554,7.023851942419555,5.05484571013866,4.567259863761856,0.8596812086768916,-2.456592078657698,2.456592078657698,0.0,0.0,10.10969142027732,10.10969142027732
