t,|i=2,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:2,IOPL:2,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=0,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC
24,|,10.0,[0],10.0,10.0,8.0,"[0, 10.0, 0]",0.0,10.0,10.0,0.9859154929577465,0.0,0.0,0,0.0,0.0,|,10.0,[0],10.0,10.0,8.0,"[0, 10.0, 0]",0.0,10.0,10.0,1.0,5.0,25.0,0,0.0,25.0,|,10.0,[0],10.0,10.0,8.0,"[0, 10.0, 0]",0.0,10.0,10.0,1.0,10.0,10.0,0,0.0,10.0
25,|,5.0,[0],5.0,5.0,10.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.9863945578231292,5.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,10.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,10.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,10.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,15.0,15.0,0,0.0,15.0
26,|,8.0,[0],8.0,8.0,5.0,"[0, 8.0, 0]",0.0,8.0,8.0,0.9870967741935484,2.0,20.0,0,0.0,20.0,|,8.0,[0],8.0,8.0,5.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,7.0,35.0,0,0.0,35.0,|,8.0,[0],8.0,8.0,5.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,12.0,12.0,0,0.0,12.0
27,|,10.0,[0],10.0,10.0,8.0,"[0, 10.0, 0]",0.0,10.0,10.0,0.9878787878787879,0.0,0.0,0,0.0,0.0,|,10.0,[0],10.0,10.0,8.0,"[0, 10.0, 0]",0.0,10.0,10.0,1.0,5.0,25.0,0,0.0,25.0,|,10.0,[0],10.0,10.0,8.0,"[0, 10.0, 0]",0.0,10.0,10.0,1.0,10.0,10.0,0,0.0,10.0
28,|,9.0,[0],9.0,9.0,10.0,"[0, 9.0, 0]",0.0,9.0,9.0,0.9885057471264368,1.0,10.0,0,0.0,10.0,|,9.0,[0],9.0,9.0,10.0,"[0, 9.0, 0]",0.0,9.0,9.0,1.0,6.0,30.0,0,0.0,30.0,|,9.0,[0],9.0,9.0,10.0,"[0, 9.0, 0]",0.0,9.0,9.0,1.0,11.0,11.0,0,0.0,11.0
29,|,5.0,[0],5.0,5.0,9.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.9888268156424581,5.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,9.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,10.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,9.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,15.0,15.0,0,0.0,15.0
30,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.9891304347826086,5.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,10.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,15.0,15.0,0,0.0,15.0
31,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.9894179894179894,5.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,10.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,15.0,15.0,0,0.0,15.0
32,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.9895833333333334,7.0,70.0,0,0.0,70.0,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,3.0,3.0,1.0,12.0,60.0,0,0.0,60.0,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,3.0,3.0,1.0,17.0,17.0,0,0.0,17.0
33,|,7.0,[0],7.0,7.0,3.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.9899497487437185,3.0,30.0,0,0.0,30.0,|,7.0,[0],7.0,7.0,3.0,"[0, 7.0, 0]",0.0,7.0,7.0,1.0,8.0,40.0,0,0.0,40.0,|,7.0,[0],7.0,7.0,3.0,"[0, 7.0, 0]",0.0,7.0,7.0,1.0,13.0,13.0,0,0.0,13.0
34,|,8.0,[0],8.0,8.0,7.0,"[0, 8.0, 0]",0.0,8.0,8.0,0.9903381642512077,2.0,20.0,0,0.0,20.0,|,8.0,[0],8.0,8.0,7.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,7.0,35.0,0,0.0,35.0,|,8.0,[0],8.0,8.0,7.0,"[0, 8.0, 0]",0.0,8.0,8.0,1.0,12.0,12.0,0,0.0,12.0
35,|,1.0,[0],1.0,1.0,8.0,"[0, 1.0, 0]",0.0,1.0,1.0,0.9903846153846154,9.0,90.0,0,0.0,90.0,|,1.0,[0],1.0,1.0,8.0,"[0, 1.0, 0]",0.0,1.0,1.0,1.0,14.0,70.0,0,0.0,70.0,|,1.0,[0],1.0,1.0,8.0,"[0, 1.0, 0]",0.0,1.0,1.0,1.0,19.0,19.0,0,0.0,19.0
36,|,6.0,[0],6.0,6.0,1.0,"[0, 6.0, 0]",0.0,6.0,6.0,0.9906542056074766,4.0,40.0,0,0.0,40.0,|,6.0,[0],6.0,6.0,1.0,"[0, 6.0, 0]",0.0,6.0,6.0,1.0,9.0,45.0,0,0.0,45.0,|,6.0,[0],6.0,6.0,1.0,"[0, 6.0, 0]",0.0,6.0,6.0,1.0,14.0,14.0,0,0.0,14.0
37,|,4.0,[0],4.0,4.0,6.0,"[0, 4.0, 0]",0.0,4.0,4.0,0.9908256880733946,6.0,60.0,0,0.0,60.0,|,4.0,[0],4.0,4.0,6.0,"[0, 4.0, 0]",0.0,4.0,4.0,1.0,11.0,55.0,0,0.0,55.0,|,4.0,[0],4.0,4.0,6.0,"[0, 4.0, 0]",0.0,4.0,4.0,1.0,16.0,16.0,0,0.0,16.0
38,|,5.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.9910313901345291,5.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,10.0,50.0,0,0.0,50.0,|,5.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,15.0,15.0,0,0.0,15.0
39,|,2.0,[0],2.0,2.0,5.0,"[0, 2.0, 0]",0.0,2.0,2.0,0.9911111111111112,8.0,80.0,0,0.0,80.0,|,2.0,[0],2.0,2.0,5.0,"[0, 2.0, 0]",0.0,2.0,2.0,1.0,13.0,65.0,0,0.0,65.0,|,2.0,[0],2.0,2.0,5.0,"[0, 2.0, 0]",0.0,2.0,2.0,1.0,18.0,18.0,0,0.0,18.0
40,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.9913793103448276,3.0,30.0,0,0.0,30.0,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,1.0,8.0,40.0,0,0.0,40.0,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,7.0,7.0,1.0,13.0,13.0,0,0.0,13.0
41,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.9913793103448276,10.0,100.0,0,0.0,100.0,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,15.0,75.0,0,0.0,75.0,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,20.0,20.0,0,0.0,20.0
42,|,7.0,[0],7.0,7.0,0.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.9916317991631799,3.0,30.0,0,0.0,30.0,|,7.0,[0],7.0,7.0,0.0,"[0, 7.0, 0]",0.0,7.0,7.0,1.0,8.0,40.0,0,0.0,40.0,|,7.0,[0],7.0,7.0,0.0,"[0, 7.0, 0]",0.0,7.0,7.0,1.0,13.0,13.0,0,0.0,13.0
43,|,0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,0.9916317991631799,10.0,100.0,0,0.0,100.0,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,15.0,75.0,0,0.0,75.0,|,0.0,[0],0.0,0.0,7.0,"[0, 0.0, 0]",0.0,0.0,0.0,1.0,20.0,20.0,0,0.0,20.0
