t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
18,|,23.496188272952665,36.50381172704733,36.50381172704732,60.362129379727676,60.36212937972768,59.999999999999986,59.999999999999986,0.9546724646728333,-0.36212937972769055,0.36212937972769055,0.0,36.212937972769055,0.0,36.212937972769055,|,23.496188272952693,36.5038117270473,36.50381172704733,60.36212937972768,60.36212937972769,60.00000000000002,60.00000000000002,0.9546724646728332,-0.3621293797276621,0.3621293797276621,0.0,7.2425875945532425,600.0000000000002,607.2425875945535,|,23.49618827295268,36.50381172704732,36.50381172704732,60.36212937972769,60.36212937972769,60.0,60.0,0.9745628610707419,-0.36212937972769055,0.36212937972769055,0.0,0.0,600.0,600.0
19,|,-0.36212937972769055,60.36212937972769,60.00000000000002,66.64064414125252,66.64064414125252,60.00000000000002,59.63787062027233,0.9508117603435601,-7.002773520980192,7.002773520980192,0.0,700.2773520980192,0.0,700.2773520980192,|,-0.3621293797276621,60.362129379727655,60.0,66.64064414125252,66.64064414125252,60.0,59.63787062027234,0.95081176034356,-7.002773520980185,7.002773520980185,0.0,140.0554704196037,600.0,740.0554704196037,|,-0.36212937972769055,60.36212937972769,60.36212937972769,66.64064414125252,66.64064414125252,60.36212937972769,60.0,0.9697681503166656,-6.640644141252523,6.640644141252523,0.0,0.0,603.6212937972768,603.6212937972768
20,|,-7.002773520980192,67.00277352098018,60.0,51.861501348833535,51.86150134883354,58.86427486981373,51.861501348833535,0.953166558276978,1.1357251301862732,0.0,11.357251301862732,0.0,0.0,11.357251301862732,|,-7.002773520980185,67.00277352098018,60.36212937972769,51.86150134883354,51.86150134883354,58.86427486981373,51.86150134883354,0.9531665582769779,1.4978545099139637,0.0,14.978545099139637,0.0,588.6427486981372,603.6212937972768,|,-6.640644141252523,66.64064414125252,66.64064414125252,51.86150134883354,51.86150134883354,58.502145490086065,51.86150134883354,0.9712154453948174,8.138498651166458,0.0,81.38498651166458,0.0,585.0214549008606,666.4064414125252
21,|,1.1357251301862732,58.86427486981373,58.86427486981373,39.6520247580214,39.6520247580214,39.6520247580214,39.6520247580214,0.95482025705269,20.347975241978602,0.0,203.47975241978602,0.0,0.0,203.47975241978602,|,1.4978545099139637,58.502145490086036,58.502145490086065,39.6520247580214,39.6520247580214,39.6520247580214,39.6520247580214,0.9548202570526898,20.34797524197863,0.0,203.4797524197863,0.0,396.520247580214,600.0000000000003,|,8.138498651166458,51.86150134883354,51.86150134883354,39.6520247580214,39.6520247580214,39.6520247580214,39.6520247580214,0.9722318341324105,20.347975241978602,0.0,203.47975241978602,0.0,396.520247580214,600.0
22,|,20.347975241978602,39.6520247580214,39.6520247580214,61.92064405781714,61.92064405781714,60.0,60.0,0.9555603428073873,-1.9206440578171424,1.9206440578171424,0.0,192.06440578171424,0.0,192.06440578171424,|,20.34797524197863,39.65202475802137,39.6520247580214,61.92064405781714,61.92064405781714,60.00000000000003,60.00000000000003,0.9555603428073871,-1.920644057817114,1.920644057817114,0.0,38.41288115634228,600.0000000000002,638.4128811563426,|,20.347975241978602,39.6520247580214,39.6520247580214,61.92064405781714,61.92064405781714,60.0,60.0,0.9720620102653464,-1.9206440578171424,1.9206440578171424,0.0,0.0,600.0,600.0
23,|,-1.9206440578171424,61.92064405781714,60.00000000000003,64.49842163183531,64.49842163183531,60.00000000000003,58.079355942182886,0.9527167123075793,-6.419065689652427,6.419065689652427,0.0,641.9065689652427,0.0,641.9065689652427,|,-1.920644057817114,61.920644057817114,60.0,64.49842163183531,64.49842163183531,60.0,58.079355942182886,0.9527167123075793,-6.419065689652427,6.419065689652427,0.0,128.38131379304855,600.0,728.3813137930485,|,-1.9206440578171424,61.92064405781714,61.92064405781714,64.49842163183531,64.49842163183531,61.92064405781714,60.0,0.9699037692074828,-4.498421631835313,4.498421631835313,0.0,0.0,619.2064405781714,619.2064405781714
24,|,-6.419065689652427,66.41906568965243,60.0,72.16493242240162,72.16493242240162,60.0,53.58093431034757,0.9412363676776255,-18.583998112054047,18.583998112054047,0.0,1858.3998112054046,0.0,1858.3998112054046,|,-6.419065689652427,66.41906568965243,61.92064405781714,72.16493242240162,72.16493242240162,61.92064405781714,55.501578368164715,0.942689698960119,-16.663354054236905,16.663354054236905,0.0,333.2670810847381,619.2064405781714,952.4735216629094,|,-4.498421631835313,64.49842163183531,64.49842163183531,72.16493242240162,72.16493242240162,64.49842163183531,60.0,0.9623421403239059,-12.16493242240162,12.16493242240162,0.0,0.0,644.9842163183531,644.9842163183531
25,|,-18.583998112054047,78.58399811205405,61.92064405781714,50.548457101386624,50.548457101386624,61.92064405781714,43.336645945763095,0.9381451807936623,-7.211811155623529,7.211811155623529,0.0,721.1811155623529,0.0,721.1811155623529,|,-16.663354054236905,76.6633540542369,64.49842163183531,50.548457101386624,50.548457101386624,64.49842163183531,47.83506757759841,0.9428234782175818,-2.7133895237882157,2.7133895237882157,0.0,54.267790475764315,644.9842163183531,699.2520067941174,|,-12.16493242240162,72.16493242240163,72.16493242240162,50.548457101386624,50.54845710138661,62.713389523788244,50.548457101386624,0.9637294695823845,9.451542898613376,0.0,94.51542898613376,0.0,627.1338952378825,721.6493242240163
26,|,-7.211811155623529,67.21181115562352,64.49842163183531,61.227401362381364,61.22740136238137,64.49842163183531,57.286610476211784,0.9380380303655829,-3.94079088616958,3.94079088616958,0.0,394.079088616958,0.0,394.079088616958,|,-2.7133895237882157,62.71338952378822,62.713389523788244,61.22740136238137,61.227401362381364,62.713389523788244,60.00000000000003,0.9444095620164817,-1.2274013623813431,1.2274013623813431,0.0,24.548027247626862,627.1338952378825,651.6819224855094,|,9.451542898613376,50.54845710138662,50.54845710138661,61.227401362381364,61.22740136238137,59.999999999999986,59.999999999999986,0.9644225093179505,-1.2274013623813786,1.2274013623813786,0.0,0.0,599.9999999999999,599.9999999999999
27,|,-3.94079088616958,63.94079088616958,62.713389523788244,70.23851942419557,70.23851942419557,62.713389523788244,58.772598637618664,0.933306724485915,-11.465920786576909,11.465920786576909,0.0,1146.592078657691,0.0,1146.592078657691,|,-1.2274013623813431,61.22740136238135,59.999999999999986,70.23851942419557,70.23851942419557,59.999999999999986,58.77259863761864,0.9393806113107984,-11.46592078657693,11.46592078657693,0.0,229.3184157315386,599.9999999999999,829.3184157315385,|,-1.2274013623813786,61.22740136238138,61.22740136238137,70.23851942419557,70.23851942419557,61.22740136238137,59.99999999999999,0.9592749877620612,-10.23851942419558,10.23851942419558,0.0,0.0,612.2740136238137,612.2740136238137
