t,|i=2,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:2,IOPL:2,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=0,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC
27,|,10.0,[0],10.0,17.0,10.0,"[0, 5.0, 0]",0.0,10.0,0.0,0.09090909090909091,-14.0,0.0,1400.0,0.0,1400.0,|,10.0,[0],10.0,15.0,5.0,"[0, 8.0, 0]",0.0,5.0,0.0,0.19393939393939394,-12.0,0.0,0.0,0.0,0.0,|,10.0,[0],10.0,10.0,8.0,"[0, 10.0, 0]",0.0,8.0,3.0,0.4727272727272727,-7.0,0,0.0,0.0,0.0
28,|,9.0,[0],9.0,21.0,5.0,"[0, 8.0, 0]",0.0,5.0,0.0,0.08620689655172414,-18.0,0.0,1800.0,0.0,1800.0,|,9.0,[0],9.0,16.0,8.0,"[0, 10.0, 0]",0.0,8.0,0.0,0.1839080459770115,-13.0,0.0,0.0,0.0,0.0,|,9.0,[0],9.0,9.0,10.0,"[0, 9.0, 0]",0.0,10.0,3.0,0.46551724137931033,-6.0,0,0.0,0.0,0.0
29,|,5.0,[0],5.0,18.0,8.0,"[0, 10.0, 0]",0.0,8.0,0.0,0.08379888268156424,-15.0,0.0,1500.0,0.0,1500.0,|,5.0,[0],5.0,11.0,10.0,"[0, 9.0, 0]",0.0,10.0,0.0,0.1787709497206704,-8.0,0.0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,9.0,"[0, 5.0, 0]",0.0,9.0,3.0,0.4692737430167598,-2.0,0,0.0,0.0,0.0
30,|,5.0,[0],5.0,13.0,10.0,"[0, 9.0, 0]",0.0,10.0,0.0,0.08152173913043478,-10.0,0.0,1000.0,0.0,1000.0,|,5.0,[0],5.0,7.0,9.0,"[0, 5.0, 0]",0.0,9.0,1.0,0.1793478260869565,-4.0,0.0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,3.0,0.47282608695652173,-2.0,0,0.0,0.0,0.0
31,|,5.0,[0],5.0,9.0,9.0,"[0, 5.0, 0]",0.0,9.0,0.0,0.07936507936507936,-6.0,0.0,600.0,0.0,600.0,|,5.0,[0],5.0,7.0,5.0,"[0, 5.0, 0]",0.0,5.0,1.0,0.17989417989417988,-4.0,0.0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,3.0,0.47619047619047616,-2.0,0,0.0,0.0,0.0
32,|,3.0,[0],3.0,7.0,5.0,"[0, 5.0, 0]",0.0,5.0,0.0,0.078125,-4.0,0.0,400.0,0.0,400.0,|,3.0,[0],3.0,5.0,5.0,"[0, 5.0, 0]",0.0,5.0,1.0,0.18229166666666666,-2.0,0.0,0.0,0.0,0.0,|,3.0,[0],3.0,3.0,5.0,"[0, 3.0, 0]",0.0,5.0,3.0,0.484375,0.0,0,0,0.0,0.0
33,|,7.0,[0],7.0,9.0,5.0,"[0, 5.0, 0]",0.0,5.0,1.0,0.08040201005025126,-6.0,0.0,600.0,0.0,600.0,|,7.0,[0],7.0,7.0,5.0,"[0, 3.0, 0]",0.0,5.0,3.0,0.19095477386934673,-4.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,3.0,"[0, 7.0, 0]",0.0,3.0,3.0,0.4824120603015075,-4.0,0,0.0,0.0,0.0
34,|,8.0,[0],8.0,12.0,5.0,"[0, 3.0, 0]",0.0,5.0,0.0,0.07729468599033816,-9.0,0.0,900.0,0.0,900.0,|,8.0,[0],8.0,12.0,3.0,"[0, 7.0, 0]",0.0,3.0,0.0,0.18357487922705315,-9.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,7.0,"[0, 8.0, 0]",0.0,7.0,3.0,0.4782608695652174,-5.0,0,0.0,0.0,0.0
35,|,1.0,[0],1.0,10.0,3.0,"[0, 7.0, 0]",0.0,3.0,0.0,0.07692307692307693,-7.0,0.0,700.0,0.0,700.0,|,1.0,[0],1.0,6.0,7.0,"[0, 6.0, 0]",0.0,7.0,0.0,0.18269230769230768,-3.0,0.0,0.0,0.0,0.0,|,1.0,[0],1.0,1.0,8.0,"[0, 1.0, 0]",0.0,6.0,1.0,0.4807692307692308,2.0,2.0,0,0.0,2.0
36,|,6.0,[0],6.0,9.0,7.0,"[0, 6.0, 0]",0.0,7.0,0.0,0.07476635514018691,-6.0,0.0,600.0,0.0,600.0,|,6.0,[0],6.0,6.0,6.0,"[0, 3.0, 0]",0.0,6.0,3.0,0.19158878504672897,-3.0,0.0,0.0,0.0,0.0,|,6.0,[0],6.0,6.0,1.0,"[0, 6.0, 0]",0.0,3.0,3.0,0.48130841121495327,-3.0,0,0.0,0.0,0.0
37,|,4.0,[0],4.0,7.0,6.0,"[0, 3.0, 0]",0.0,6.0,0.0,0.07339449541284404,-4.0,0.0,400.0,0.0,400.0,|,4.0,[0],4.0,7.0,3.0,"[0, 6.0, 0]",0.0,3.0,0.0,0.18807339449541285,-4.0,0.0,0.0,0.0,0.0,|,4.0,[0],4.0,4.0,6.0,"[0, 4.0, 0]",0.0,6.0,3.0,0.48623853211009177,-1.0,0,0.0,0.0,0.0
38,|,5.0,[0],5.0,9.0,3.0,"[0, 6.0, 0]",0.0,3.0,0.0,0.07174887892376682,-6.0,0.0,600.0,0.0,600.0,|,5.0,[0],5.0,6.0,6.0,"[0, 4.0, 0]",0.0,6.0,2.0,0.19282511210762332,-3.0,0.0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,4.0,3.0,0.48878923766816146,-2.0,0,0.0,0.0,0.0
39,|,2.0,[0],2.0,5.0,6.0,"[0, 4.0, 0]",0.0,6.0,0.0,0.07111111111111111,-2.0,0.0,200.0,0.0,200.0,|,2.0,[0],2.0,4.0,4.0,"[0, 4.0, 0]",0.0,4.0,1.0,0.19555555555555557,-1.0,0.0,0.0,0.0,0.0,|,2.0,[0],2.0,2.0,5.0,"[0, 2.0, 0]",0.0,4.0,2.0,0.49333333333333335,1.0,1.0,0,0.0,1.0
40,|,7.0,[0],7.0,8.0,4.0,"[0, 4.0, 0]",0.0,4.0,2.0,0.07758620689655173,-5.0,0.0,500.0,0.0,500.0,|,7.0,[0],7.0,7.0,4.0,"[0, 3.0, 0]",0.0,4.0,3.0,0.2025862068965517,-4.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,2.0,"[0, 7.0, 0]",0.0,3.0,3.0,0.49137931034482757,-4.0,0,0.0,0.0,0.0
