t,|i=0,IO:EXT,IOPL:EXT,OQ:1,OQ:2,OO:1,OO:2,IS:1,IS:2,ISPL:1,ISPL:2,RM:1,RM:2,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC,|i=2,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC
20,|,51.861501348833535,[0],51.861501348833535,51.86150134883354,68.50214549008604,58.50214549008604,60.36212937972768,60.36212937972768,"[0, 66.64064414125252, 0]","[0, 58.50214549008606, 0]",0.0,9.999999999999993,60.36212937972768,43.3593558587475,0.9093189306450546,-8.502145490086036,99.99999999999993,85.02145490086036,0.0,185.0214549008603,|,51.861501348833535,[0],51.86150134883354,51.86150134883354,66.64064414125252,"[0, 51.86150134883354, 0]",0.0,66.64064414125252,49.99999999999999,0.8861200819297841,-1.8615013488335421,0,18.61501348833542,666.4064414125253,685.0214549008607,|,51.86150134883354,[0],51.86150134883356,51.86150134883354,66.64064414125252,"[0, 51.86150134883356, 0]",0.0,58.50214549008606,51.86150134883354,0.9712154453948176,8.138498651166465,81.38498651166465,0,585.0214549008606,666.4064414125253
21,|,39.6520247580214,[0],39.6520247580214,39.6520247580214,41.51352610685491,39.65202475802139,66.64064414125252,58.50214549008606,"[0, 41.51352610685494, 0]","[0, 39.6520247580214, 0]",0.0,1.861501348833528,48.154170248107434,39.6520247580214,0.912520898466668,18.48647389314509,203.47975241978617,0,0.0,203.47975241978617,|,39.6520247580214,[0],39.6520247580214,39.6520247580214,51.86150134883354,"[0, 39.6520247580214, 0]",0.0,41.51352610685494,39.6520247580214,0.8901412060274887,10.347975241978602,103.47975241978602,0,415.1352610685494,518.6150134883354,|,39.6520247580214,[0],39.65202475802139,39.65202475802136,51.86150134883356,"[0, 39.65202475802139, 0]",0.0,39.6520247580214,39.6520247580214,0.9722318341324108,20.34797524197863,203.4797524197863,0,396.520247580214,600.0000000000003
22,|,61.92064405781714,[0],61.92064405781714,61.920644057817135,61.920644057817114,61.92064405781713,41.51352610685494,39.6520247580214,"[0, 50.0, 0]","[0, 60.00000000000002, 0]",1.4210854715202004e-14,0.0,60.000000000000014,60.000000000000014,0.9154715015797606,-1.9206440578171282,1.4210854715202004e-13,19.206440578171282,0.0,19.206440578171424,|,61.92064405781714,[0],61.92064405781714,61.92064405781714,39.6520247580214,"[0, 61.92064405781714, 0]",0.0,50.0,50.0,0.8858216921494912,-11.920644057817142,0,119.20644057817142,500.0,619.2064405781714,|,61.920644057817135,[0],61.92064405781714,61.92064405781712,39.65202475802139,"[0, 61.92064405781714, 0]",0.0,60.00000000000002,60.00000000000002,0.9720620102653466,-1.920644057817114,0,19.20644057817114,600.0000000000002,619.2064405781714
23,|,64.49842163183531,[0],64.49842163183531,64.49842163183531,76.41906568965243,66.41906568965243,50.0,60.00000000000002,"[0, 61.92064405781714, 0]","[0, 61.92064405781714, 0]",0.0,10.000000000000007,50.000000000000014,48.079355942182886,0.9066934659923251,-16.419065689652427,100.00000000000007,164.19065689652427,0.0,264.19065689652433,|,64.49842163183531,[0],64.49842163183531,64.49842163183531,61.92064405781714,"[0, 64.49842163183531, 0]",0.0,61.92064405781714,50.0,0.8801115837518906,-14.498421631835313,0,144.98421631835313,619.2064405781714,764.1906568965245,|,64.49842163183531,[0],64.4984216318353,64.49842163183528,61.92064405781714,"[0, 64.4984216318353, 0]",0.0,61.92064405781714,60.00000000000003,0.9699037692074831,-4.498421631835285,0,44.98421631835285,619.2064405781714,664.1906568965243
24,|,72.16493242240162,[0],72.16493242240162,72.16493242240162,86.6633540542369,76.6633540542369,61.92064405781714,61.92064405781714,"[0, 64.49842163183531, 0]","[0, 64.4984216318353, 0]",0.0,10.000000000000014,61.92064405781714,45.501578368164715,0.891612723273206,-26.663354054236905,100.00000000000014,266.633540542369,0.0,366.63354054236913,|,72.16493242240162,[0],72.16493242240162,72.16493242240163,64.49842163183531,"[0, 72.16493242240162, 0]",0.0,64.49842163183531,50.0,0.8698862918851412,-22.16493242240162,0,221.6493242240162,644.9842163183531,866.6335405423692,|,72.16493242240162,[0],72.16493242240162,72.16493242240159,64.4984216318353,"[0, 72.16493242240162, 0]",0.0,64.4984216318353,60.000000000000014,0.9623421403239062,-12.164932422401606,0,121.64932422401606,644.984216318353,766.633540542369
25,|,50.548457101386624,[0],50.548457101386624,50.54845710138661,72.71338952378822,62.71338952378821,64.49842163183531,64.4984216318353,"[0, 72.16493242240162, 0]","[0, 62.713389523788216, 0]",0.0,10.0,64.49842163183531,37.83506757759841,0.8863400686191312,-12.713389523788216,100.0,127.13389523788216,0.0,227.13389523788214,|,50.548457101386624,[0],50.54845710138661,50.54845710138662,72.16493242240162,"[0, 50.54845710138661, 0]",0.0,72.16493242240162,50.0,0.8742800056838136,-0.5484571013866244,0,5.484571013866244,721.6493242240163,727.1338952378825,|,50.54845710138661,[0],50.548457101386624,50.54845710138659,72.16493242240162,"[0, 50.548457101386624, 0]",0.0,62.713389523788216,50.54845710138661,0.9637294695823848,9.451542898613404,94.51542898613404,0,627.1338952378821,721.6493242240161
26,|,61.227401362381364,[0],61.22740136238136,61.22740136238137,61.775858463767946,61.227401362381364,72.16493242240162,62.713389523788216,"[0, 50.54845710138661, 0]","[0, 60.00000000000003, 0]",0.0,0.5484571013865889,72.16493242240162,59.451542898613404,0.8899563143040712,-1.7758584637679604,5.484571013865889,17.758584637679604,0.0,23.243155651545493,|,61.22740136238136,[0],61.227401362381364,61.227401362381364,50.54845710138661,"[0, 61.227401362381364, 0]",0.0,50.54845710138661,49.999999999999986,0.8718172699523364,-11.227401362381372,0,112.27401362381372,505.4845710138661,617.7585846376799,|,61.22740136238137,[0],61.22740136238138,61.22740136238135,50.548457101386624,"[0, 61.22740136238138, 0]",0.0,60.00000000000003,60.00000000000003,0.9644225093179508,-1.2274013623813431,0,12.274013623813431,600.0000000000002,612.2740136238136
27,|,70.23851942419557,[0],70.23851942419559,70.23851942419557,81.4659207865769,71.4659207865769,50.54845710138661,60.00000000000003,"[0, 61.227401362381364, 0]","[0, 61.22740136238138, 0]",0.0,10.000000000000007,50.54845710138661,48.77259863761865,0.8808202556734004,-21.465920786576923,100.00000000000007,214.65920786576925,0.0,314.6592078657693,|,70.23851942419559,[0],70.2385194241956,70.2385194241956,61.227401362381364,"[0, 70.2385194241956, 0]",0.0,61.227401362381364,49.99999999999999,0.8643449031266502,-20.238519424195594,0,202.38519424195596,612.2740136238136,814.6592078657695,|,70.23851942419557,[0],70.23851942419557,70.23851942419554,61.22740136238138,"[0, 70.23851942419557, 0]",0.0,61.22740136238138,60.000000000000036,0.9592749877620614,-10.238519424195538,0,102.38519424195538,612.2740136238137,714.6592078657691
28,|,67.30550515737056,[0],67.30550515737059,67.30550515737058,87.54402458156613,77.54402458156608,61.227401362381364,61.22740136238138,"[0, 70.2385194241956, 0]","[0, 70.23851942419557, 0]",0.0,10.000000000000021,61.227401362381364,39.76148057580444,0.8683923503857891,-27.54402458156612,100.00000000000021,275.4402458156612,0.0,375.44024581566146,|,67.30550515737059,[0],67.30550515737059,67.30550515737059,70.2385194241956,"[0, 67.30550515737059, 0]",0.0,70.2385194241956,50.00000000000001,0.8591406583030788,-17.305505157370582,0,173.05505157370584,702.385194241956,875.4402458156619,|,67.30550515737058,[0],67.30550515737056,67.30550515737053,70.23851942419557,"[0, 67.30550515737056, 0]",0.0,70.23851942419557,60.000000000000036,0.956369273241274,-7.30550515737054,0,73.0550515737054,702.3851942419558,775.4402458156612
29,|,50.70894151736557,[0],50.70894151736555,50.70894151736559,68.01444667473609,58.01444667473609,70.2385194241956,70.23851942419557,"[0, 67.30550515737059, 0]","[0, 58.01444667473613, 0]",0.0,10.0,70.2385194241956,42.69449484262948,0.8675655232203725,-8.014446674736085,100.0,80.14446674736085,0.0,180.14446674736087,|,50.70894151736555,[0],50.708941517365545,50.708941517365545,67.30550515737059,"[0, 50.708941517365545, 0]",0.0,67.30550515737059,50.00000000000001,0.8631083363517038,-0.7089415173655453,0,7.089415173655453,673.0550515737059,680.1444667473613,|,50.70894151736559,[0],50.708941517365595,50.70894151736556,67.30550515737056,"[0, 50.708941517365595, 0]",0.0,58.01444667473613,50.70894151736559,0.9577336679137097,9.291058482634433,92.91058482634433,0,580.1444667473613,673.0550515737057
