t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
18,|,2.839618827295271,3.650381172704729,3.6503811727047344,6.036212937972767,6.036212937972767,6.036212937972767,6.036212937972767,0.9529340950242412,0.4537870620272386,0.0,3.1765094341906703,0.0,0.0,3.1765094341906703,|,1.8796188272952623,3.6503811727047326,3.650381172704737,6.036212937972767,6.036212937972767,5.529999999999999,5.529999999999999,0.9199484418664762,-0.5062129379727676,0.5062129379727676,0.0,0.0,22.119999999999997,22.119999999999997,|,4.282961984763297,6.407038015236701,2.7566568425319637,6.036212937972767,6.036212937972767,6.036212937972767,6.036212937972767,0.9120609549114563,1.0034058893224937,0.0,2.0068117786449875,0.0,12.072425875945534,14.079237654590521
19,|,0.4537870620272386,6.0362129379727625,5.529999999999999,6.664064414125252,6.664064414125251,5.983787062027238,5.983787062027238,0.9493796067576346,-0.6802773520980141,0.6802773520980141,0.0,25.251895309878282,0.0,25.251895309878282,|,-0.5062129379727676,6.036212937972763,6.036212937972767,6.664064414125251,6.664064414125249,6.036212937972767,5.529999999999999,0.9141256041530544,-1.1340644141252518,1.1340644141252518,0.0,0.0,24.144851751891068,24.144851751891068,|,1.0034058893224937,9.686594110677504,3.650381172704737,6.664064414125249,6.664064414125249,4.653787062027231,4.653787062027231,0.898252742426416,-2.0102773520980186,2.0102773520980186,0.0,0.0,9.307574124054462,9.307574124054462
20,|,-0.6802773520980141,7.170277352098013,6.036212937972767,5.186150134883354,4.505872782785341,5.866427486981368,5.186150134883354,0.9518029664515065,0.16978545099139897,0.0,1.1884981569397928,0.0,0.0,1.1884981569397928,|,-1.1340644141252518,6.664064414125246,4.653787062027231,4.505872782785341,4.505872782785341,4.653787062027231,3.519722647901979,0.9085593519019278,-0.9861501348833617,0.9861501348833617,0.0,0.0,18.615148248108923,18.615148248108923,|,-2.0102773520980186,12.700277352098016,6.036212937972767,4.505872782785341,4.505872782785339,6.036212937972767,4.025935585874748,0.898053236102772,-0.47993719691059233,0.47993719691059233,0.0,0.0,12.072425875945534,12.072425875945534
21,|,0.16978545099139897,5.639937196910587,4.653787062027231,3.96520247580214,4.645479827900154,3.96520247580214,3.96520247580214,0.9535048139442333,0.8583700372164897,0.0,6.008590260515428,0.0,0.0,6.008590260515428,|,-0.9861501348833617,6.516150134883356,6.036212937972767,4.645479827900154,5.325757179998167,5.631629962783515,4.645479827900154,0.9123420774764442,0.40458297518925157,0.0,1.6183319007570063,0.0,22.52651985113406,24.144851751891068,|,-0.47993719691059233,11.169937196910588,6.664064414125249,5.325757179998167,6.006034532096184,5.805694376908759,5.325757179998167,0.902859048337381,0.8583700372164902,0.0,1.7167400744329804,0.0,11.611388753817518,13.328128828250499
22,|,0.8583700372164897,5.63162996278351,5.631629962783515,6.192064405781714,6.192064405781714,6.192064405781714,6.192064405781714,0.955934600572063,0.2979355942182913,0.0,2.085549159528039,0.0,0.0,2.085549159528039,|,0.40458297518925157,5.805694376908756,5.805694376908759,6.192064405781714,5.511787053683701,6.192064405781714,6.192064405781714,0.9169229828569629,0.018212946316296552,0.0,0.07285178526518621,0.0,24.768257623126857,24.841109408392043,|,0.8583700372164902,10.511907314881523,4.505872782785339,5.511787053683701,4.151232349487675,5.364242820001829,5.364242820001829,0.9061325879288413,-0.14754423368187197,0.14754423368187197,0.0,0.0,10.728485640003658,10.728485640003658
23,|,0.2979355942182913,6.192064405781709,6.192064405781714,6.449842163183532,6.449842163183532,6.449842163183532,6.449842163183532,0.9582094460286277,0.04015783681647367,0.0,0.2811048577153157,0.0,0.0,0.2811048577153157,|,0.018212946316296552,5.5117870536836975,5.364242820001829,6.449842163183532,6.449842163183532,5.382455766318126,5.382455766318126,0.9126684540534498,-1.0673863968654063,1.0673863968654063,0.0,0.0,21.529823065272502,21.529823065272502,|,-0.14754423368187197,10.157266881583858,6.006034532096184,6.449842163183532,7.130119515281542,6.006034532096184,5.858490298414312,0.9062452687464274,-0.5913518647692202,0.5913518647692202,0.0,0.0,12.012069064192367,12.012069064192367
24,|,0.04015783681647367,6.449842163183526,5.382455766318126,7.216493242240163,7.216493242240164,5.422613603134599,5.422613603134599,0.9469173801072827,-1.7938796391055636,1.7938796391055636,0.0,66.58881220359852,0.0,66.58881220359852,|,-1.0673863968654063,6.597386396865401,6.006034532096184,7.216493242240164,7.216493242240164,6.006034532096184,4.938648135230777,0.9002011039273702,-2.2778451070093864,2.2778451070093864,0.0,0.0,24.024138128384735,24.024138128384735,|,-0.5913518647692202,11.281351864769217,4.151232349487675,7.216493242240164,7.216493242240164,4.151232349487675,3.5598804847184544,0.8836956752759445,-3.6566127575217093,3.6566127575217093,0.0,0.0,8.30246469897535,8.30246469897535
25,|,-1.7938796391055636,8.283879639105564,6.006034532096184,5.054845710138663,3.260966071033099,6.006034532096184,4.21215489299062,0.9427313243639721,-0.8426908171480427,0.8426908171480427,0.0,31.280683132535344,0.0,31.280683132535344,|,-2.2778451070093864,7.807845107009381,4.151232349487675,3.260966071033099,3.2609660710330974,4.151232349487675,1.8733872424782883,0.8923575591167228,-1.387578828554811,1.387578828554811,0.0,0.0,16.6049293979507,16.6049293979507,|,-3.6566127575217093,14.346612757521708,7.130119515281542,3.2609660710330974,3.2609660710330957,6.917578828554807,3.2609660710330974,0.8864964203030473,0.21254068672673565,0.0,0.4250813734534713,0.0,13.835157657109614,14.260239030563085
26,|,-0.8426908171480427,5.538811178042479,4.151232349487675,6.122740136238137,7.0739289581956575,4.151232349487675,3.308541532339632,0.9255435763973141,-2.8141986038985047,2.8141986038985047,0.0,104.4630521767125,0.0,104.4630521767125,|,-1.387578828554811,6.917578828554804,6.917578828554807,7.0739289581956575,8.86780859730122,6.917578828554807,5.529999999999996,0.8868661086027947,-1.5439289581956617,1.5439289581956617,0.0,0.0,27.670315314219227,27.670315314219227,|,0.21254068672673565,10.477459313273261,7.216493242240164,8.86780859730122,10.661688236406786,7.429033928966899,7.429033928966899,0.883500602752778,-1.4387746683343208,1.4387746683343208,0.0,0.0,14.858067857933799,14.858067857933799
27,|,-2.8141986038985047,8.461507786750463,6.917578828554807,7.023851942419556,5.052344155669093,6.917578828554807,4.103380224656302,0.9095980849425378,-2.920471717763254,2.920471717763254,0.0,108.407910163372,0.0,108.407910163372,|,-1.5439289581956617,8.867808597301217,7.429033928966899,5.052344155669093,4.101155333711574,6.596273113864755,5.052344155669093,0.890740205475166,0.8327608151021444,0.0,3.3310432604085776,0.0,26.38509245545902,29.716135715867598,|,-1.4387746683343208,13.922654307439883,3.2609660710330957,4.101155333711574,1.3560868726484898,3.2609660710330957,1.8221914026987749,0.8713619931700569,-2.2789639310127994,2.2789639310127994,0.0,0.0,6.521932142066191,6.521932142066191
